Date,Open,High,Low,Close,Adj Close,Volume
2022-05-05,51.040001,51.540001,48.099998,48.689999,48.689999,667600
2022-05-06,49.009998,49.242001,45.910000,46.200001,46.200001,1447600
2022-05-09,45.320000,46.500000,42.419998,43.000000,43.000000,1494300
2022-05-10,46.310001,53.340000,46.310001,53.240002,53.240002,2963200
2022-05-11,52.650002,56.549999,52.331001,53.380001,53.380001,1953900
2022-05-12,52.820000,56.080002,52.820000,55.220001,55.220001,1057700
2022-05-13,56.570000,59.509998,56.450001,59.099998,59.099998,1006000
2022-05-16,59.500000,60.020000,58.000000,58.919998,58.919998,735100
2022-05-17,59.919998,60.060001,58.590000,59.410000,59.410000,1041200
2022-05-18,58.490002,58.790001,56.893002,58.500000,58.500000,1261100
2022-05-19,58.750000,60.639999,57.389999,57.730000,57.730000,930900
2022-05-20,58.500000,59.849998,55.549999,57.880001,57.880001,873800
2022-05-23,58.669998,58.959999,57.349998,58.410000,58.410000,609700
2022-05-24,57.900002,58.330002,55.880001,56.959999,56.959999,544400
2022-05-25,56.750000,56.750000,55.549999,56.669998,56.669998,689700
2022-05-26,57.139999,59.294998,56.700001,58.720001,58.720001,516900
2022-05-27,57.480000,58.915001,54.590000,58.279999,58.279999,719600
2022-05-31,57.860001,58.730000,56.830002,57.400002,57.400002,581200
2022-06-01,57.470001,58.500000,54.794998,55.259998,55.259998,511300
2022-06-02,55.080002,56.070000,53.910000,55.660000,55.660000,618500
2022-06-03,55.240002,59.959999,55.111000,58.349998,58.349998,548300
2022-06-06,58.880001,59.820000,58.110001,58.200001,58.200001,571900
2022-06-07,57.950001,60.000000,57.950001,58.790001,58.790001,425500
2022-06-08,58.209999,59.345001,56.080002,57.610001,57.610001,481200
2022-06-09,57.240002,57.869999,55.259998,55.480000,55.480000,392900
2022-06-10,54.849998,54.849998,51.230000,53.020000,53.020000,685700
2022-06-13,51.230000,53.880001,51.119999,53.070000,53.070000,942800
2022-06-14,53.549999,54.500000,51.980000,54.020000,54.020000,535700
2022-06-15,54.560001,57.570000,53.759998,56.529999,56.529999,927400
2022-06-16,54.930000,56.090000,52.779999,53.430000,53.430000,692500
2022-06-17,53.910000,58.549999,53.910000,54.939999,54.939999,1606100
2022-06-21,55.110001,56.918999,54.730000,54.820000,54.820000,968700
2022-06-22,54.000000,55.849998,53.130001,54.270000,54.270000,647500
2022-06-23,53.439999,57.740002,53.439999,57.189999,57.189999,813300
2022-06-24,57.830002,58.507000,55.259998,55.619999,55.619999,1600400
