Date,Open,High,Low,Close,Adj Close,Volume
2022-05-04,8.090000,8.260000,7.840000,8.230000,8.230000,368500
2022-05-05,8.080000,8.100000,7.640000,7.760000,7.760000,331500
2022-05-06,7.810000,7.880000,7.460000,7.790000,7.790000,279200
2022-05-09,7.700000,7.930000,7.520000,7.570000,7.570000,431100
2022-05-10,7.590000,7.650000,7.260000,7.310000,7.310000,470100
2022-05-11,7.320000,7.410000,6.790000,6.830000,6.830000,377100
2022-05-12,6.780000,7.060000,6.700000,7.020000,7.020000,439600
2022-05-13,7.200000,7.420000,7.110000,7.380000,7.380000,541600
2022-05-16,7.290000,7.490000,7.170000,7.320000,7.320000,724500
2022-05-17,7.430000,7.600000,7.130000,7.210000,7.210000,1960400
2022-05-18,7.880000,8.110000,7.520000,7.720000,7.720000,1797400
2022-05-19,7.520000,8.090000,7.520000,7.890000,7.890000,881900
2022-05-20,8.000000,8.030000,7.570000,7.900000,7.900000,661600
2022-05-23,7.900000,8.060000,7.080000,7.160000,7.160000,764100
2022-05-24,7.000000,7.060000,6.750000,6.790000,6.790000,499200
2022-05-25,6.750000,7.250000,6.750000,7.130000,7.130000,881500
2022-05-26,7.290000,7.650000,7.260000,7.490000,7.490000,1062800
2022-05-27,7.560000,7.720000,7.440000,7.500000,7.500000,472100
2022-05-31,7.640000,7.990000,7.600000,7.700000,7.700000,565200
2022-06-01,7.690000,7.870000,7.520000,7.560000,7.560000,517000
2022-06-02,7.570000,7.910000,7.560000,7.860000,7.860000,379200
2022-06-03,7.730000,7.750000,7.590000,7.740000,7.740000,411000
2022-06-06,7.780000,7.780000,7.500000,7.700000,7.700000,447800
2022-06-07,7.510000,7.630000,7.290000,7.600000,7.600000,673500
2022-06-08,7.660000,7.900000,7.600000,7.740000,7.740000,353000
2022-06-09,7.650000,7.690000,7.320000,7.450000,7.450000,436400
2022-06-10,7.400000,7.480000,7.260000,7.410000,7.410000,400400
2022-06-13,7.170000,7.310000,6.890000,7.190000,7.190000,642100
2022-06-14,7.200000,7.260000,7.000000,7.190000,7.190000,440400
2022-06-15,7.280000,7.380000,7.180000,7.270000,7.270000,411500
2022-06-16,7.210000,7.210000,6.700000,6.770000,6.770000,383500
2022-06-17,6.910000,7.090000,6.820000,7.050000,7.050000,802900
2022-06-21,7.140000,7.350000,7.050000,7.080000,7.080000,538900
2022-06-22,6.980000,7.140000,6.980000,7.060000,7.060000,263900
2022-06-23,7.040000,7.270000,7.020000,7.190000,7.190000,508700
2022-06-24,7.260000,7.650000,7.170000,7.460000,7.460000,640500
2022-06-27,7.390000,7.500000,7.230000,7.250000,7.250000,259000
2022-06-28,7.240000,7.380000,7.110000,7.190000,7.190000,274500
2022-06-29,7.140000,7.140000,6.710000,6.750000,6.750000,763400
2022-06-30,6.620000,6.650000,6.190000,6.230000,6.230000,1017700
2022-07-01,6.250000,6.670000,6.190000,6.580000,6.580000,514600
2022-07-05,6.390000,6.700000,6.260000,6.670000,6.670000,289600
2022-07-06,6.700000,6.760000,6.480000,6.570000,6.570000,245000
2022-07-07,6.660000,6.880000,6.630000,6.800000,6.800000,260700
2022-07-08,6.740000,6.940000,6.720000,6.800000,6.800000,225300
2022-07-11,6.800000,6.880000,6.590000,6.630000,6.630000,158800
2022-07-12,6.590000,6.760000,6.490000,6.520000,6.520000,274400
2022-07-13,6.410000,6.630000,6.370000,6.540000,6.540000,200000
2022-07-14,6.490000,6.500000,6.330000,6.450000,6.450000,193900
2022-07-15,6.630000,6.710000,6.510000,6.700000,6.700000,271700
2022-07-18,6.740000,6.990000,6.740000,6.770000,6.770000,330900
2022-07-19,6.840000,6.990000,6.840000,6.980000,6.980000,331800
2022-07-20,6.990000,7.170000,6.950000,7.150000,7.150000,444600
2022-07-21,7.180000,7.320000,7.000000,7.310000,7.310000,267300
2022-07-22,7.370000,7.500000,7.170000,7.320000,7.320000,341700
2022-07-25,7.360000,7.410000,7.140000,7.370000,7.370000,510400
2022-07-26,7.250000,7.250000,6.870000,7.050000,7.050000,506900
2022-07-27,7.170000,7.370000,7.000000,7.300000,7.300000,376900
2022-07-28,7.340000,7.500000,7.140000,7.500000,7.500000,273600
2022-07-29,7.500000,7.590000,7.290000,7.460000,7.460000,362400
2022-08-01,7.380000,7.850000,7.300000,7.750000,7.750000,565400
2022-08-02,7.700000,7.790000,7.520000,7.530000,7.530000,457800
2022-08-03,7.150000,7.210000,6.780000,7.150000,7.150000,1107200
2022-08-04,7.210000,7.490000,7.090000,7.210000,7.210000,396700
2022-08-05,7.150000,7.310000,7.110000,7.180000,7.180000,284800
2022-08-08,7.290000,7.470000,7.250000,7.290000,7.290000,629300
2022-08-09,7.360000,7.360000,6.830000,7.050000,7.050000,737200
2022-08-10,7.370000,7.580000,7.250000,7.270000,7.270000,686200
2022-08-11,7.370000,7.550000,7.350000,7.470000,7.470000,473300
2022-08-12,7.540000,7.910000,7.470000,7.890000,7.890000,547400
2022-08-15,7.850000,7.950000,7.700000,7.730000,7.730000,305800
2022-08-16,7.810000,8.090000,7.760000,7.930000,7.930000,445100
2022-08-17,7.840000,7.930000,7.740000,7.820000,7.820000,184700
2022-08-18,7.790000,7.820000,7.570000,7.730000,7.730000,297900
2022-08-19,7.700000,7.700000,7.370000,7.420000,7.420000,235400
2022-08-22,7.290000,7.300000,6.930000,6.960000,6.960000,380800
2022-08-23,7.020000,7.190000,6.980000,7.090000,7.090000,309600
2022-08-24,7.090000,7.320000,7.090000,7.200000,7.200000,203300
2022-08-25,7.190000,7.410000,7.170000,7.390000,7.390000,228000
2022-08-26,7.330000,7.360000,7.060000,7.090000,7.090000,212000
2022-08-29,7.020000,7.140000,6.990000,7.100000,7.100000,198900
2022-08-30,7.070000,7.200000,6.980000,7.060000,7.060000,157400
2022-08-31,7.010000,7.130000,6.730000,6.780000,6.780000,405200
2022-09-01,6.690000,6.830000,6.590000,6.760000,6.760000,383900
2022-09-02,6.900000,6.900000,6.620000,6.670000,6.670000,195300
2022-09-06,6.690000,6.690000,6.350000,6.390000,6.390000,286200
2022-09-07,6.360000,6.600000,6.330000,6.560000,6.560000,449700
2022-09-08,6.470000,6.570000,6.340000,6.500000,6.500000,162700
2022-09-09,6.500000,6.660000,6.500000,6.600000,6.600000,249500
2022-09-12,6.640000,6.820000,6.640000,6.700000,6.700000,241500
2022-09-13,6.480000,6.480000,6.000000,6.050000,6.050000,573900
2022-09-14,6.080000,6.100000,5.870000,6.040000,6.040000,398100
